# run=2026-09-24_1304  universe=237  cache_hit=0.0%  price_stale=207/237  fetch_failed=0/237
ready_to_buy_score,ticker,price,target_upside,quality_flag,cyclicality,cyclical_driver,cycle_position,cycle_reason,turn_state,turn_persist,trailingPE,forwardPE,peg,pe_delta,eps_rev_90d,eps_rev_30d,rev_accel,rsi14,pct_change_1d,pct_change_5d,pct_change_1mo,dist_from_ath,pct_from_52wk_high,pct_from_52wk_low,pct_from_ma50,close_vs_range,recent_action,gap_pct,intraday_range_pct,trend_3d,days_since_5pct_move,last_5pct_direction,price_above_ma50,sector,vol_1d,vol_10d_avg,vol_3mo_avg,vol_vs_10d_avg,vol_vs_3mo_avg,vol_event,vol_event_read,volume_trend,vol_spike_tag,days_since_vol_spike,last_vol_spike_direction,last_vol_spike_magnitude,vol_spike_recent,rtb_b4,rtb_b2,rtb_b3,rtb_b1,rtb_b5,rtb_b1_confirm,rtb_b1_ma50,rtb_b1_5d,rtb_b1_1mo,rtb_b1_combo,rtb_quality_pts,rtb_cycle_pts,rtb_f1_timing,rtb_f2_estimates,rtb_f3_ath,rtb_f4_targets,rtb_f5_trend,rtb_f6_volume,rtb_f7_cycle,div_yield,total_return_potential,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div
78.5,NVDA,225.51,45.3%,HIGH,CYCLICAL,COMMODITY,TROUGH,"margins contracting, estimates stabilising",WATCH,,28.47,14.38,0.49,14.10,23.74,21.71,-2.03,55.70,-1.5%,5.4%,8.2%,-4.7%,-4.7%,37.3%,4.7%,30.20,NORMAL,-0.37,2.19,MIXED,18.00,UP,True,Technology,86851377,109105680,140074267,0.80,0.62,LIGHT,FAKE-BOUNCE,0.78,,,,,False,15.0,20.0,7.5,14.0,22.0,3.0,4.0,3.0,4.0,0.0,10.0,8.0,14.0,20.0,7.5,22.0,,,15.0,0.12,45.4%,False,0.04,2026-09-10,14.00,False
64.4,KB,125.39,44.1%,MEDIUM,MIXED,RATE,EARLY,fwd<trail PE + healthy margins (op_m=59%) → grower (EARLY),FALLING_KNIFE,,10.19,8.53,0.71,1.70,8.56,8.56,0.00,49.90,-2.9%,-3.2%,6.3%,-5.9%,-5.9%,61.9%,2.7%,9.20,GRINDING-DOWN,-2.24,1.22,MIXED,37.00,UP,True,Financial Services,115404,139050,249887,0.83,0.46,NORMAL,normal,0.56,,,,,False,8.0,13.1,13.3,8.0,22.0,3.0,4.0,-3.0,4.0,0.0,8.0,0.0,8.0,13.1,13.3,22.0,,,8.0,2.64,46.7%,False,0.27,2026-08-06,49.00,False
57.8,WDC,473.69,40.4%,HIGH,CYCLICAL,CAPEX,MID,margins expanding + est rising (op_m=44%),WATCH,,17.27,14.92,0.88,2.30,29.16,16.95,-12.21,54.00,2.0%,13.6%,8.8%,-40.8%,-40.8%,349.3%,-0.4%,93.60,NORMAL,-0.36,6.47,RISING,12.00,UP,False,Technology,5011141,7416690,7920060,0.68,0.63,LIGHT,FAKE-BOUNCE,0.94,ACCUM-CONFIRMED-RECENTLY,4.00,UP,1.71,True,0.0,20.0,5.8,10.0,22.0,3.0,0.0,3.0,4.0,0.0,10.0,-10.0,10.0,20.0,5.8,22.0,,,0.0,0.11,40.5%,False,0.02,2026-09-08,16.00,False
57.8,EME,751.80,37.4%,MEDIUM,CYCLICAL,CAPEX,TROUGH,fwd<trail PE + eps30=11.6>1.5 + low margins → TROUGH,FUNDAMENTALS_READY_PRICE_FALLING,,23.42,20.46,0.31,3.00,12.49,11.61,-0.88,47.70,-0.8%,2.2%,-3.2%,-21.0%,-21.0%,33.1%,-2.5%,14.50,NORMAL,-0.13,1.59,MIXED,37.00,UP,False,Industrials,219201,369360,414520,0.59,0.53,LIGHT,FAKE-BOUNCE,0.89,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.05,True,12.0,18.3,7.5,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,4.0,-2.0,18.3,7.5,22.0,,,12.0,0.09,37.5%,False,0.04,2026-07-15,71.00,False
56.3,CLS,361.84,30.2%,MEDIUM,CYCLICAL,COMMODITY,EARLY,margins expanding + est rising (op_m=10%),WATCH,,37.61,18.52,1.00,19.10,33.82,30.20,-3.62,61.90,5.1%,14.2%,22.0%,-23.7%,-23.7%,59.4%,11.9%,55.20,NORMAL,3.37,3.74,RISING,0.00,UP,True,Technology,2273282,2092290,2358390,1.09,0.96,NORMAL,normal,0.89,,13.00,UP,1.65,True,12.0,20.0,5.3,16.0,3.0,3.0,4.0,3.0,6.0,0.0,8.0,4.0,16.0,20.0,5.3,3.0,,,12.0,,30.2%,False,0.00,,,False
52.0,MU,1071.88,41.4%,HIGH,CYCLICAL,COMMODITY,MID,margins expanding + est rising (op_m=80%),WATCH,,24.21,6.74,0.30,17.50,8.17,2.13,-6.04,62.20,-2.2%,15.7%,17.7%,-14.6%,-14.6%,593.1%,14.8%,18.50,NORMAL,0.36,3.85,MIXED,1.00,UP,True,Technology,21405071,25248950,42765811,0.85,0.50,NORMAL,normal,0.59,,,,,False,0.0,6.5,7.5,16.0,22.0,3.0,4.0,3.0,6.0,0.0,10.0,-10.0,16.0,6.5,7.5,22.0,,,0.0,0.05,41.4%,False,0.01,2026-07-06,80.00,False
49.4,CIEN,355.91,45.2%,MEDIUM,MIXED,CAPEX,EARLY,margins expanding + est rising (op_m=18%),FUNDAMENTALS_READY_PRICE_FALLING,,79.09,30.17,0.37,48.90,28.44,26.62,-1.82,48.00,-2.8%,6.5%,-10.1%,-44.2%,-44.2%,166.3%,-6.4%,25.10,NORMAL,0.73,4.91,MIXED,6.00,DOWN,False,Technology,1849630,2866180,2688934,0.65,0.69,LIGHT,FAKE-BOUNCE,1.07,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.81,True,8.0,20.0,7.4,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,0.0,-3.0,20.0,7.4,22.0,,,8.0,,45.2%,False,0.00,,,False
48.7,AMG,366.17,19.5%,MEDIUM,MIXED,RATE,TROUGH,"margins contracting, estimates stabilising",WATCH,,12.85,8.56,0.60,4.30,22.38,14.69,-7.69,55.40,0.4%,5.2%,2.8%,-6.8%,-6.8%,59.1%,0.9%,69.80,NORMAL,-1.94,3.36,RISING,44.00,DOWN,True,Financial Services,265262,273760,297085,0.97,0.89,NORMAL,normal,0.92,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.72,True,8.0,20.0,13.7,12.0,-5.0,3.0,4.0,3.0,2.0,0.0,8.0,0.0,12.0,20.0,13.7,-5.0,,,8.0,0.01,19.5%,False,0.00,2026-08-10,45.00,False
47.1,KEYS,353.36,17.5%,MEDIUM,MIXED,CAPEX,EARLY,fwd<trail PE + healthy margins (op_m=26%) → grower (EARLY),WATCH,,47.82,25.47,0.69,22.30,17.00,16.37,-0.63,62.60,3.3%,12.8%,11.8%,-5.8%,-5.8%,122.5%,8.0%,97.60,ACCUM-STRONG,1.51,3.62,RISING,6.00,DOWN,True,Technology,1421800,1128620,1494448,1.26,0.95,ELEVATED,ELEVATED-UP,0.76,,,,,False,8.0,20.0,8.1,16.0,-5.0,3.0,4.0,3.0,6.0,0.0,8.0,0.0,16.0,20.0,8.1,-5.0,,,8.0,,17.5%,False,0.00,,,False
47.1,BEKE,16.59,43.6%,MEDIUM,CYCLICAL,RATE,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,26.33,13.20,,13.10,10.29,10.66,0.37,45.90,0.1%,2.3%,-6.5%,-36.3%,-19.7%,20.1%,-2.5%,68.70,NORMAL,-0.84,2.02,RISING,15.00,DOWN,False,Real Estate,5231193,5008730,4422585,1.04,1.18,NORMAL,normal,1.13,,2.00,UP,1.78,True,12.0,16.1,0.0,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,4.0,-3.0,16.1,0.0,22.0,,,12.0,11.64,55.3%,False,0.45,2026-04-08,169.00,False
46.4,JBL,308.75,39.1%,MEDIUM,MIXED,COMMODITY,MID,fwd<trail PE but eps30=0.5 flat/weak → MID,FUNDAMENTALS_READY_PRICE_FALLING,,38.59,18.34,0.82,20.30,15.39,0.53,-14.86,48.70,1.7%,4.3%,-1.4%,-28.0%,-28.0%,62.8%,-2.9%,95.40,NORMAL,0.97,2.53,RISING,6.00,DOWN,False,Technology,831626,1223130,1211861,0.68,0.69,LIGHT,FAKE-BOUNCE,1.01,ACCUM-CONFIRMED-RECENTLY,3.00,UP,3.14,True,8.0,8.7,9.7,-2.0,22.0,3.0,-4.0,3.0,-4.0,0.0,8.0,0.0,-2.0,8.7,9.7,22.0,,,8.0,0.10,39.2%,False,0.04,2026-08-14,41.00,False
